timestamp,action,target_decel,cost,predicted_risk,predicted_min_distance,predicted_min_ttc,ext_score,int_score,cross_score,fused_score,fused_level,lead_distance,lead_ttc,closing_speed,lead_warning_level,reasons
1782645322.491,BRAKE,3.50,0.9395,1.0000,2.600,99.000,1.0000,0.0000,0.0000,0.3500,1,2.600,99.000,0.000,0,distance 2.6m critical | pred risk 1.00
1782645323.685,BRAKE,3.50,0.9393,1.0000,2.630,99.000,1.0000,0.0000,0.0000,0.3500,1,2.630,99.000,0.000,0,distance 2.6m critical | pred risk 1.00
1782645324.221,KEEP,0.00,0.6675,0.7500,2.615,1.263,1.0000,0.0000,0.0000,0.3500,1,5.720,2.760,2.070,1,TTC 2.8s | distance 5.7m | closing 2.1m/s | pred risk 0.75
1782645324.774,KEEP,0.00,0.6675,0.7500,2.035,1.124,1.0000,0.0000,0.0000,0.3500,1,4.750,2.620,1.810,1,TTC 2.6s | distance 4.8m | closing 1.8m/s | pred risk 0.75
1782645325.324,KEEP,0.00,0.6675,0.7500,10.080,99.000,1.0000,0.0000,0.0000,0.3500,1,10.080,99.000,0.000,1,distance 10.1m | pred risk 0.75
1782645325.879,BRAKE,3.50,0.9386,1.0000,2.780,99.000,1.0000,0.0000,0.0000,0.3500,1,2.780,99.000,0.010,0,distance 2.8m critical | pred risk 1.00
1782645326.432,KEEP,0.00,0.6829,0.7606,9.465,32.638,1.0000,0.0000,0.0000,0.3500,1,9.900,99.000,0.290,1,distance 9.9m | pred risk 0.76
1782645326.982,BRAKE,3.50,0.9369,0.9980,2.840,99.000,1.0000,0.0000,0.0000,0.3500,1,2.840,99.000,0.000,0,distance 2.8m critical | pred risk 1.00
1782645327.553,BRAKE,3.50,0.9371,0.9982,2.840,99.000,1.0000,0.0000,0.0000,0.3500,1,2.840,99.000,0.010,0,distance 2.8m critical | pred risk 1.00
1782645328.105,BRAKE,3.50,0.8251,0.8433,7.094,3.660,1.0000,0.0000,0.0000,0.3500,1,8.020,3.660,2.190,1,TTC 3.7s | distance 8.0m | closing 2.2m/s | pred risk 0.84
1782645328.663,BRAKE,3.50,0.8079,0.8236,6.494,3.910,1.0000,0.0000,0.0000,0.3500,1,7.200,3.910,1.840,1,TTC 3.9s | distance 7.2m | closing 1.8m/s | pred risk 0.82
1782645329.202,KEEP,0.00,0.6341,0.7489,17.230,3.881,0.9985,0.0000,0.0000,0.3497,1,23.890,5.390,4.440,1,closing 4.4m/s | pred risk 0.75
1782645329.717,KEEP,0.00,0.6675,0.7500,14.670,4.419,1.0000,0.0000,0.0000,0.3499,1,19.650,5.920,3.320,1,closing 3.3m/s | pred risk 0.75
1782645330.263,BRAKE,3.50,0.7550,0.7500,8.794,3.270,1.0000,0.0000,0.0000,0.3500,1,10.840,3.270,3.310,1,TTC 3.3s | distance 10.8m | closing 3.3m/s | pred risk 0.75
1782645330.815,EMERGENCY_BRAKE,6.50,1.0579,0.8800,3.230,0.997,1.0000,0.0000,0.0000,0.3500,1,10.210,1.150,8.900,1,TTC 1.1s critical | distance 10.2m | closing 8.9m/s | pred risk 0.88
1782645331.328,KEEP,0.00,0.6666,0.7500,11.960,99.000,0.9500,0.0000,0.0000,0.3413,1,11.960,99.000,0.000,2,distance 12.0m | pred risk 0.75
1782645331.836,KEEP,0.00,0.7165,0.7900,2.395,2.632,0.6900,0.0000,0.0000,0.2600,1,3.760,99.000,0.910,1,distance 3.8m | closing 0.9m/s | pred risk 0.79
1782645332.397,KEEP,0.00,0.6610,0.7500,16.050,99.000,0.7676,0.0000,0.0000,0.2849,1,16.050,99.000,0.000,2,pred risk 0.75
1782645332.963,BRAKE,3.50,0.8581,0.9046,3.310,99.000,0.8600,0.0000,0.0000,0.2946,1,3.310,99.000,0.030,0,distance 3.3m | pred risk 0.90
1782645333.516,BRAKE,3.50,0.8677,0.9246,3.890,99.000,0.9090,0.0000,0.0000,0.2390,0,3.890,99.000,0.000,0,distance 3.9m | pred risk 0.92
1782645334.020,KEEP,0.00,0.2686,0.3218,8.280,99.000,0.0000,0.0000,0.0000,0.1119,0,8.280,99.000,0.000,0,distance 8.3m
1782645334.578,KEEP,0.00,0.2506,0.3003,9.730,99.000,0.0000,0.0000,0.0000,0.1038,0,9.730,99.000,0.000,0,distance 9.7m
1782645335.130,SLOW_DOWN,1.50,0.5984,0.6670,2.963,0.861,0.8893,0.0000,0.0000,0.2481,0,9.780,1.810,5.390,1,TTC 1.8s | distance 9.8m | closing 5.4m/s | pred risk 0.67
1782645335.685,KEEP,0.00,0.2973,0.3574,9.290,99.000,0.3000,0.0000,0.0000,0.1135,0,9.290,99.000,0.000,1,distance 9.3m
1782645336.249,KEEP,0.00,0.2703,0.3267,21.180,99.000,0.3267,0.0000,0.0000,0.0896,0,21.180,99.000,0.000,0,risk remains low
1782645336.797,KEEP,0.00,0.5338,0.6356,14.990,99.000,0.8474,0.0000,0.0000,0.2531,1,14.990,99.000,0.000,1,pred risk 0.64
1782645337.367,KEEP,0.00,0.5552,0.6561,7.905,1.517,0.8748,0.0000,0.0000,0.3036,1,15.720,3.020,5.210,1,TTC 3.0s | closing 5.2m/s | pred risk 0.66
1782645337.934,EMERGENCY_BRAKE,6.50,1.1546,1.0000,0.000,0.000,1.0000,0.0000,0.0000,0.3458,1,5.160,0.430,11.870,2,TTC 0.4s critical | distance 5.2m | closing 11.9m/s | pred risk 1.00
1782645338.479,BRAKE,3.50,0.9371,0.9869,3.354,2.230,0.9611,0.0000,0.0000,0.3400,1,4.050,2.230,1.820,2,TTC 2.2s | distance 4.0m | closing 1.8m/s | pred risk 0.99
1782645339.043,BRAKE,3.50,0.9141,0.9520,2.084,1.460,0.9200,0.0000,0.0000,0.3303,1,2.850,1.460,1.960,2,TTC 1.5s | distance 2.9m critical | closing 2.0m/s | pred risk 0.95
1782645339.596,KEEP,0.00,0.7604,0.8200,2.690,99.000,0.7000,0.0000,0.0000,0.2641,1,2.690,99.000,0.000,2,distance 2.7m critical | pred risk 0.82
1782645340.160,KEEP,0.00,0.4727,0.5581,12.810,99.000,0.7441,0.0000,0.0000,0.2619,1,12.810,99.000,0.000,1,pred risk 0.56
1782645340.718,BRAKE,3.50,0.7262,0.7317,10.244,4.160,0.6730,0.0000,0.0000,0.2363,0,11.830,4.160,2.850,1,TTC 4.2s | distance 11.8m | closing 2.9m/s | pred risk 0.73
1782645341.266,BRAKE,3.50,0.7512,0.7621,9.424,4.290,0.7170,0.0000,0.0000,0.2529,1,10.640,4.290,2.480,1,TTC 4.3s | distance 10.6m | closing 2.5m/s | pred risk 0.76
1782645341.840,SLOW_DOWN,1.50,0.7459,0.7830,8.860,7.010,0.7493,0.0000,0.0000,0.2605,1,9.770,7.010,1.390,1,distance 9.8m | closing 1.4m/s | pred risk 0.78
1782645342.400,KEEP,0.00,0.6877,0.7696,9.220,99.000,0.7696,0.0000,0.0000,0.2675,1,9.220,99.000,0.000,0,distance 9.2m | pred risk 0.77
1782645342.949,BRAKE,3.50,0.8216,0.8537,6.949,7.170,0.8430,0.0000,0.0000,0.2961,1,7.240,7.170,1.010,2,distance 7.2m | closing 1.0m/s | pred risk 0.85
